objectid,parentid,title,architect,extension_architect,architect_url,donor,date_built,date_began,date_completed,status,date_demolished,area,current_use,description,campus,address,longitude,latitude,identifier,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,hidden
cb002_01,cb002,Royal Victoria College (1960),,,,,,,,,,,,,,,,,PS005217,,Image;StillImage,image/jpg,,,,image,/objects/cb002_01.jpg,/objects/cb002_01.jpg,/objects/cb002_01.jpg,
cb002_02,cb002,Site of Roscoe Wing (1950),,,,,,,,,,,,,,,,,PR023219,,Image;StillImage,image/jpg,,,,image,/objects/cb002_02.jpg,/objects/cb002_02.jpg,/objects/cb002_02.jpg,
cb002_03,cb002,Roscoe construction (November 1963),,,,,,,,,,,,,,,,,PR027877,,Image;StillImage,image/jpg,,,,image,/objects/cb002_03.jpg,/objects/cb002_03.jpg,/objects/cb002_03.jpg,
cb002_04,cb002,RVC tower from university (1965) ,,,,,,,,,,,,,,,,,PU019387,,Image;StillImage,image/jpg,,,,image,/objects/cb002_04.jpg,/objects/cb002_04.jpg,/objects/cb002_04.jpg,
cb002_05,cb002,Roscoe Wing bedroom (1965),,,,,,,,,,,,,,,,,PU019386,,Image;StillImage,image/jpg,,The copyright and related rights status of this Item has not been evaluated. Please contact the McGill Archives for more information.,,image,/objects/cb002_05.jpg,/objects/cb002_05.jpg,/objects/cb002_05.jpg,
cb002_06,cb002,Workman House as McGill Music (1912),,,,,,,,,,,,,,,,,,Notman Archives (McCord Museum),Image;StillImage,image/jpg,,,,image,/objects/cb002_06.jpg,/objects/cb002_06.jpg,/objects/cb002_06.jpg,
cb002_07,cb002,Workman House as McGill Music,,,,,,,,,,,,,,,,,PR014591,,Image;StillImage,image/jpg,,,,image,/objects/cb002_07.jpg,/objects/cb002_06.jpg,/objects/cb002_06.jpg,
cb002_08,cb002,Royal Victoria College (1925),,,,,,,,,,,,,,,,,PR002669,,Image;StillImage,image/jpg,,,,image,/objects/cb002_08.jpg,/objects/small/cb002_08_sm.jpg,/objects/thumbs/cb002_08_th.jpg,
cb002_09,cb002,Music Class,,,,,,,,,,,,,,,,,PR035362,,Image;StillImage,image/jpg,,,,image,/objects/cb002_09.jpg,/objects/cb002_09.jpg,/objects/cb002_09.jpg,
cb002_10,cb002,Roscoe Wing from rear (1965),,,,,,,,,,,,,,,,,PU019388,,Image;StillImage,image/jpg,,,,image,/objects/cb002_10.jpg,/objects/small/cb002_10_sm.jpg,/objects/thumbs/cb002_10_th.jpg,
